Date,Genotype,Region,Stage,Hours,Acclimation,Temp,Height
7/19/22,GH174,Tropical,Early,4,30,38.75,0.1
7/19/22,GH174,Tropical,Early,4,30,38.75,0.2
7/19/22,GH174,Tropical,Early,4,30,38.75,0
7/19/22,GH174,Tropical,Early,4,30,38.75,0.3
7/19/22,GH174,Tropical,Early,4,30,38.75,0
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.5
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.85
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.2
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.2
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.9
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.15
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.4
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.45
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.1
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.3
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.1
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.1
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.2
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.5
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.1
7/20/22,FRMO01,Temperate,Early,10,18,38.75,0.1
7/20/22,FRMO01,Temperate,Early,10,18,38.75,0.2
7/19/22,JPSC,Temperate,Early,4,30,38.75,0.2
7/20/22,JPSC,Temperate,Early,10,18,38.75,2.45
7/26/22,FRMO01,Temperate,Early,4,30,38.75,0.45
7/26/22,FRMO01,Temperate,Early,4,30,38.75,0.25
7/26/22,FRMO01,Temperate,Early,4,30,38.75,0.2
7/26/22,FRMO01,Temperate,Early,4,30,38.75,0.85
7/26/22,FRMO01,Temperate,Early,4,30,38.75,1.5
7/26/22,GH169,Tropical,Early,4,30,38.75,0.3
7/26/22,JPSC,Temperate,Early,4,30,38.75,0.2
7/26/22,JPSC,Temperate,Early,4,30,38.75,0
7/26/22,JPSC,Temperate,Early,4,30,38.75,0.1
7/26/22,JPSC,Temperate,Early,4,30,38.75,0.25
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.275
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.225
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.75
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.5
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.05
7/26/22,JPSC,Temperate,Early,4,30,38.75,0.8
7/26/22,GH169,Tropical,Early,6,25,38.75,0.1
7/26/22,GH169,Tropical,Early,6,25,38.75,0.2
7/26/22,GH169,Tropical,Early,6,25,38.75,0.15
7/26/22,GH169,Tropical,Early,6,25,38.75,0.1
7/26/22,JPSC,Temperate,Early,6,25,38.75,0.35
7/26/22,JPSC,Temperate,Early,6,25,38.75,0.25
7/20/22,FRMO01,Temperate,Early,10,18,38.75,0
7/20/22,FRMO01,Temperate,Early,10,18,38.75,0
7/26/22,JPSC,Temperate,Early,4,30,38.75,1.2
7/20/22,FRMO01,Temperate,Early,10,18,38.75,0.7
7/19/22,GH174,Tropical,Early,4,30,38.75,0
7/26/22,JPSC,Temperate,Early,6,25,38.75,0.1
7/26/22,GH169,Tropical,Early,6,25,38.75,0.1
7/27/22,FRMO01,Temperate,Early,10,18,38.75,0.3
7/27/22,FRMO01,Temperate,Early,10,18,38.75,0.3
7/26/22,FRMO02,Temperate,Early,4,30,38.75,0.3
7/26/22,FRMO02,Temperate,Early,6,25,38.75,0.1
7/26/22,GH169,Tropical,Early,6,25,38.75,0
7/26/22,JPSC,Temperate,Early,6,25,38.75,0
7/27/22,FRMO01,Temperate,Early,10,18,38.75,6.75
8/2/22,GH169,Tropical,Early,4,30,38.75,0
8/2/22,GH169,Tropical,Early,4,30,38.75,0
8/2/22,GH169,Tropical,Early,4,30,38.75,0
8/2/22,JPSC,Temperate,Early,4,30,38.75,0.25
8/2/22,JPSC,Temperate,Early,4,30,38.75,0.65
8/2/22,JPSC,Temperate,Early,4,30,38.75,0.4
8/2/22,JPSC,Temperate,Early,4,30,38.75,0.1
8/2/22,JPOK,Temperate,Early,4,30,38.75,1.6
8/2/22,JPOK,Temperate,Early,4,30,38.75,0.1
8/2/22,FRMO01,Temperate,Early,4,30,38.75,0.1
8/2/22,FRMO01,Temperate,Early,4,30,38.75,0.95
8/2/22,FRMO01,Temperate,Early,4,30,38.75,1.5
8/2/22,FRMO02,Temperate,Early,4,30,38.75,0.95
8/2/22,GH169,Tropical,Early,6,25,38.75,0
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.5
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.95
8/2/22,FRMO02,Temperate,Early,6,25,38.75,1.45
8/2/22,FRMO02,Temperate,Early,6,25,38.75,2.65
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.1
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.525
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.95
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.1
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.25
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.55
8/2/22,FRMO02,Temperate,Early,6,25,38.75,0.3
