Genotype,Region,Stage,Acclimation,Temp,Number_Eggs,Survival
CantonS,Temperate,Early,18,38.75,100,0.12
CantonS,Temperate,Early,18,38.75,100,0.19
CantonS,Temperate,Early,18,38.75,100,0.24
CantonS,Temperate,Early,18,38.75,50,0.3
CantonS,Temperate,Early,18,38.75,60,0.25
CantonS,Temperate,Early,18,38.75,50,0.28
CantonS,Temperate,Early,18,38.75,60,0.17
CantonS,Temperate,Late,18,39.75,60,0.07
CantonS,Temperate,Late,18,39.75,60,0.13
CantonS,Temperate,Late,18,39.75,100,0.04
CantonS,Temperate,Late,18,39.75,25,0.24
CantonS,Temperate,Late,18,39.75,50,0.26
CantonS,Temperate,Late,18,39.75,100,0.22
CantonS,Temperate,Late,18,39.75,40,0.18
CantonS,Temperate,Late,18,39.75,100,0.34
CantonS,Temperate,Late,18,39.75,50,0.04
CantonS,Temperate,Early,25,38.75,100,0.47
CantonS,Temperate,Early,25,38.75,100,0.31
CantonS,Temperate,Early,25,38.75,100,0.49
CantonS,Temperate,Early,25,38.75,100,0.39
CantonS,Temperate,Early,25,38.75,100,0.47
CantonS,Temperate,Early,25,38.75,100,0.25
CantonS,Temperate,Early,25,38.75,100,0.44
CantonS,Temperate,Early,25,38.75,100,0.33
CantonS,Temperate,Early,25,38.75,16,0.44
CantonS,Temperate,Early,25,38.75,56,0.55
CantonS,Temperate,Early,25,38.75,100,0.52
CantonS,Temperate,Early,25,38.75,100,0.55
CantonS,Temperate,Early,25,38.75,100,0.41
CantonS,Temperate,Early,25,38.75,100,0.41
CantonS,Temperate,Late,25,39.75,80,0.26
CantonS,Temperate,Late,25,39.75,60,0.37
CantonS,Temperate,Late,25,39.75,100,0.48
CantonS,Temperate,Late,25,39.75,100,0.42
CantonS,Temperate,Early,30,38.75,100,0.54
CantonS,Temperate,Early,30,38.75,100,0.45
CantonS,Temperate,Early,30,38.75,80,0.1875
CantonS,Temperate,Early,30,38.75,56,0.571428571
CantonS,Temperate,Early,30,38.75,16,0.5
CantonS,Temperate,Early,30,38.75,80,0.4625
CantonS,Temperate,Early,30,38.75,100,0.61
CantonS,Temperate,Early,30,38.75,100,0.66
CantonS,Temperate,Early,30,38.75,100,0.59
CantonS,Temperate,Early,30,38.75,58,0.58
CantonS,Temperate,Early,30,38.75,75,0.346666667
CantonS,Temperate,Early,30,38.75,100,0.54
CantonS,Temperate,Early,30,38.75,80,0.4625
CantonS,Temperate,Early,30,38.75,100,0.39
CantonS,Temperate,Late,30,39.75,20,0.6
CantonS,Temperate,Late,30,39.75,40,0.475
