genotype,acc_temp,hs_temp,n_eggs,n_hatched
Canton S,18,38.75,100,12
Canton S,18,38.75,100,19
Canton S,18,38.75,100,24
Canton S,18,38.75,50,15
Canton S,18,38.75,60,15
Canton S,18,38.75,50,14
Canton S,18,38.75,60,10
Canton S,25,38.75,100,47
Canton S,25,38.75,100,31
Canton S,25,38.75,100,49
Canton S,25,38.75,100,39
Canton S,25,38.75,100,47
Canton S,25,38.75,100,25
Canton S,25,38.75,100,44
Canton S,25,38.75,100,33
Canton S,25,38.75,16,7
Canton S,25,38.75,56,31
Canton S,25,38.75,100,52
Canton S,25,38.75,100,55
Canton S,25,38.75,100,41
Canton S,25,38.75,100,41
Canton S,30,38.75,100,54
Canton S,30,38.75,100,45
Canton S,30,38.75,80,15
Canton S,30,38.75,56,32
Canton S,30,38.75,16,8
Canton S,30,38.75,80,37
Canton S,30,38.75,100,61
Canton S,30,38.75,100,66
Canton S,30,38.75,100,59
Canton S,30,38.75,58,34
Canton S,30,38.75,75,26
Canton S,30,38.75,100,54
Canton S,30,38.75,80,37
Canton S,30,38.75,100,39
