Date,Genotype,Region,Stage,Hours,Acclimation,Temp,Age,Sex,Rep1,Rep2,Rep3,Rep4,Speed,Adult_Survival
7/19/22,GH174,Tropical,Early,4,30,38.75,4,Female,0.260999254,0.559552358,0.364741641,0.224430907,0.35243104,Yes
7/19/22,GH174,Tropical,Early,4,30,38.75,3,Male,2.435424354,2.869565217,2.693877551,2.682926829,2.670448488,Yes
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Female,1.245551601,0.412979351,1.531728665,0.722394221,0.97816346,No
7/19/22,GH174,Tropical,Early,4,30,38.75,4,Female,1.085271318,0.727650728,0.660377358,0.57096248,0.761065471,Yes
7/19/22,GH174,Tropical,Early,4,30,38.75,3,Male,1.12745098,0.984308131,1.037593985,1.4375,1.146713274,Yes
7/19/22,GH174,Tropical,Early,4,30,38.75,3,Male,1.3671875,0.965517241,0.866551127,0.600858369,0.950028559,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Female,0.514198005,1.614457831,0.93837535,0.777262181,0.961073342,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Female,1.650246305,1.591448931,1.147260274,1.73126615,1.530055415,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Male,0.47879617,0.361757106,1.157024793,0.791855204,0.697358318,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Male,0.383120489,0.209408194,0.345,0.293992331,0.307880253,Yes
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Male,1.396303901,1.534988713,0.667320903,2.527881041,1.53162364,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Male,2.034883721,1.601830664,2.857142857,1.866666667,2.090130977,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,3,Male,2.31316726,4.012345679,2.927927928,3.08056872,3.083502397,No
7/19/22,JPSC,Temperate,Early,4,30,38.75,4,Female,1.338582677,2.085889571,1.075949367,1.205673759,1.426523843,Yes
7/19/22,JPSC,Temperate,Early,4,30,38.75,4,Female,1.030478955,1.256637168,1.295620438,1.567328918,1.28751637,Yes
